Name,address,city,state,country,sumt,drop,base,gondolas_and_trams,fastEight,highSpeedSixes,quadChairs,tripleChairs,doubleChairs,surfeLifts,totalRuns (acre),longestRun (miles),daysOpenLastYear,averageSnowfall (inches),projectedOpening,projectedClosing,NovSnow,DecSnow,JanSnow,FebSnow,MarSnow,AprSnow,MaySnow,child_season,junior_season,adult_season,child_weekday,junior_weekday,adult_weekday,senior_weekday,child_weekend,junior_weekend,adult_weekend,senior_weekend,Url,gondolas_lifts_note,terrainNote,ticketpriceNote
Kirkwood,PO Box 1,95646 Kirkwood,California,United States,9800,2000,7800,0,2,0,2,5,1,3,200,2.5,200,354,November 12 2022,May 14 2023,22,79,85,81,79,25,1,271,429,545,437,0,0,0,0,0,0,0,https://www.onthesnow.com/california/kirkwood/ski-resort.html,0,0,0
Kissing Bridge,P.O. Box 73,14069 Glenwood,New York,United States,1700,550,1150,0,0,0,2,1,4,3,550,0.5,103,120,December 26 2023,March 26 2024,1,23,48,45,18,0,0,150,550,775,625,40,45,55.55,65,0,0,0,https://www.onthesnow.com/new-york/kissing-bridge/ski-resort.html,0,0,0
Labrador Mt.,Route 91 PO Box 105,13158 Truxton,New York,United States,1825,700,1125,0,0,0,0,1,2,1,237,1,0,125,December 17 2023,March 25 2024,0,12,23,33,16,0,0,529,299,15,49,59,54,15,49,59,54,0,https://www.onthesnow.com/new-york/labrador-mt/ski-resort.html,0,0,0
Lee Canyon,7501 Tule Springs Rd. #110,89124 Las Vegas,NV 89131,United States,11289,860,8510,0,0,0,2,1,0,0,50,0.3,144,161,December 09 2023,April 07 2024,0.1,15,32,23,19,0.8,0,49,289,559,69,79,79,69,79,79,59,69,https://www.onthesnow.com/nevada/las-vegas-ski-and-snowboard-resort/ski-resort.html,Check gondola information.,0,0
Liberty,78 Country Club Trail,17320-0703 Carroll Valley,Pennsylvania,United States,1190,620,570,0,0,0,5,0,0,3,100,1,0,31,December 26 2023,March 17 2024,0.1,2,8,8,6,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.onthesnow.com/pennsylvania/liberty/ski-resort.html,0,0,Check ticket prices.
Little Switzerland,105 Cedar Creek Rd,53086 Slinger,Wisconsin,United States,1269,200,1069,0,0,0,0,0,4,5,50,1,0,0,November 26 2023,March 17 2024,2,12,13,12,5,0,0,0,549,549,0,23,33,23,0,29,41,29,https://www.onthesnow.com/wisconsin/little-switzerland/ski-resort.html,0,0,0
Lookout Pass,P.O. Box 108,83846 Walle,ID 83873,United States,6150,1650,4500,0,0,0,2,2,1,0,1023,2.5,128,430,November 11 2023,April 14 2024,28,113,84,88,55,16,0,35,329,399,329,0,45,55,45,0,5200,66,https://www.onthesnow.com/idaho/lookout-pass-ski-area/ski-resort.html,Check gondola information.,Check terrain information.,0
Loon Mountain,60 Loon Mountain Rd.,03251 Lincoln,New Hampshire,United States,3050,2100,950,1,3,0,1,0,2,2,322,2.5,149,160,November 22 2023,April 14 2024,7,31,30,36,24,8,0,30,829,1329,989,0,0,0,0,0,0,0,https://www.onthesnow.com/new-hampshire/loon-mountain/ski-resort.html,0,0,0
Lost Trail Powder Mountain,P.O. Box 311,59827 Conner,Montana,United States,8200,1800,6400,0,0,0,0,0,5,3,1800,2.5,84,325,December 01 2023,April 02 2024,1,48,41,49,27,1,0,474,574,499,0,48,58,50,0,48,58,50,https://www.onthesnow.com/montana/lost-trail-powder-mtn/ski-resort.html,0,Check terrain information.,0
Lost Valley,Box 260,04212-0260 Auburn,Maine,United States,495,240,255,0,0,0,0,0,2,2,45,0.3,87,50,December 18 2023,April 02 2024,0,5,14,17,8,2,0,60,545,645,10,39,39,35,10,55,66,35,https://www.onthesnow.com/maine/lost-valley/ski-resort.html,0,0,0
Loveland,PO Box 899,80444 Georgetown,Colorado,United States,13010,2210,10800,0,1,0,3,3,2,1,240,2,205,422,November 03 2022,May 07 2023,42,60,58,50,55,53,8,0,35,89,65,0,35,89,65,0,0,0,https://www.onthesnow.com/colorado/loveland/ski-resort.html,0,0,0
Lutsen Mountains, P.O. Box 129,55612 Lutsen,Minnesota,United States,1688,825,800,1,0,1,0,1,4,1,231,2,135,120,November 19 2022,April 30 2023,6,33,19,22,12,7,0,49,899,899,0,0,90,95,0,0,80,105,https://www.onthesnow.com/Minnesota/lutsen-mountains/ski-resort.html,0,0,0
Mad River Mountain,P.O. Box 22,43311 Bellefontaine,Ohio,United States,1460,300,1160,0,0,0,1,2,3,6,144,0.5,99,36,December 16 2023,March 24 2024,0,5,10,8,2,0,0,244,305,95,11,29,39,11,11,34,44,11,https://www.onthesnow.com/ohio/mad-river-mountain/ski-resort.html,0,0,0
Mad River Glen,P.O. Box 1089,05673 Waitsfield,Vermont,United States,3637,2037,1600,0,0,0,0,0,3,2,16,1,134,228,December 10 2023,April 16 2024,0.7,12,26,30,28,4,0,0,259,999,599,0,0,0,0,0,0,0,https://www.onthesnow.com/vermont/mad-river-glen/ski-resort.html,0,0,0
Magic Mountain Vermont,P.O. Box 396,05148 Londonderry,Vermont,United States,2850,1500,1350,0,0,0,0,0,2,2,95,1.6,76,150,December 22 2023,April 07 2024,4,20,24,30,27,0.6,0,549,579,849,549,0,69,89,69,0,69,89,https://www.onthesnow.com/vermont/magic-mountain/ski-resort.html,0,0,0
Magic Mountain Idaho,319 Orchard Dr.,83301 Twin Falls,Idaho,United States,7200,700,6500,0,0,0,0,0,1,2,280,1.5,0,180,December 16 2023,March 24 2024,0,11,27,25,10,0,0,145,280,330,149,0,24,32,25,0,24,32,https://www.onthesnow.com/idaho/magic-mountain-ski-area/ski-resort.html,0,Check terrain information.,0
Mammoth Mountain,P.O. Box 24,93546 Mammoth Lakes,California,United States,11053,3100,7953,3,9,2,1,6,4,0,700,3,260,400,November 05 2022,July 30 2023,31,75,74,65,63,25,9,389,879,1179,67,122,149,122,81,147,179,147,https://www.onthesnow.com/california/mammoth-mountain-ski-area/ski-resort.html,Check gondola information.,0,0
Maple Ski Ridge,2725 Mariaville Road,12306 Schenectady,New York,United States,1200,450,750,0,0,0,0,1,1,2,25,0.3,0,0,December 25 2023,March 26 2024,0,5,6,11,5,0,0,10,349,179,0,24,26,0,0,36,38,0,https://www.onthesnow.com/new-york/maple-ski-ridge/ski-resort.html,0,0,0
Marquette Mountain,4501 M-553,49855 Marquette,Michigan,United States,1357,600,757,0,0,0,0,1,2,1,143,0.7,122,210,December 16 2023,April 07 2024,0.1,4,12,7,7,1,0,0,0,0,0,0,0,0,0,0,0,0,https://www.onthesnow.com/Michigan/marquette-mountain/ski-resort.html,0,0,Check ticket prices.
Massanutten,PO Box 1227,22840 Harrisonburg,Virginia,United States,2925,1110,1750,0,0,0,3,1,0,3,82,0.9,98,35,November 24 2023,March 17 2024,0.1,0.4,6,5,6,0,0,515,606,47,47,55,47,69,69,79,69,37,https://www.onthesnow.com/virginia/massanutten/ski-resort.html,0,0,0
Maverick Mountain,Box 475 Maverick Mountain Road,59746 Polaris,Montana,United States,8520,2020,6500,0,0,0,0,0,1,1,450,1.3,0,160,December 10 2023,March 31 2024,0.5,15,24,28,16,0.6,0,300,450,350,25,39,32,25,39,32,20,32,https://www.onthesnow.com/montana/maverick-mountain/ski-resort.html,0,Check terrain information.,0
McCauley Mountain Ski Center,Town of Webb,13420 Old Forge,New York,United States,2250,633,1563,0,0,0,0,0,1,4,55,0.3,105,200,December 17 2023,April 09 2023,0,16,34,37,23,0.7,0,199,235,305,149,0,15,20,20,0,25,30,https://www.onthesnow.com/new-york/mccauley-mountain-ski-center/ski-resort.html,0,0,0
Meadowlark,426 Forest Service Road Highway 16,82442 Tensleep,Wyoming,United States,9500,1000,8500,0,0,0,0,1,1,0,300,1.5,0,0,December 10 2023,April 01 2024,0.8,10,13,16,8,0.7,0,350,400,485,42,52,62,42,52,62,0,0,https://www.onthesnow.com/Wyoming/meadowlark-ski-lodge/ski-resort.html,Check gondola information.,Check terrain information.,0
Mohawk Mountain,PO Box 27,06753 Cornwall,Connecticut,United States,1600,650,950,0,0,0,0,5,0,3,100,1.5,0,92,November 26 2023,March 26 2024,0.2,6,6,10,7,0,0,599,699,699,599,15,32,32,32,15,59,67,https://www.onthesnow.com/connecticut/mohawk-mountain/ski-resort.html,0,0,0
Monarch Mountain,#1 Powder Ple,81227 Monarch,Colorado,United States,11952,1162,10790,0,0,0,1,0,4,2,800,1,136,350,December 01 2023,April 14 2024,15,56,54,55,42,14,0,269,389,539,409,48,64,94,64,48,64,94,https://www.onthesnow.com/colorado/monarch-mountain/ski-resort.html,0,Check terrain information.,0
Mont Ripley,1400 Townsend Drive,49930 Houghton,Michigan,United States,1140,440,700,0,0,0,0,0,2,2,112,0.8,114,275,December 11 2023,March 26 2024,0.8,19,22,26,5,0.8,0,430,44,49,44,49,37,42,75,84,0,0,https://www.onthesnow.com/Michigan/mont-ripley/ski-resort.html,0,0,0
Sno Mountain,1000 Montage Mountain Rd,PA 18507 Scranton,Pennsylvania,United States,1960,1000,960,0,0,0,1,3,1,2,140,1.2,60,47,December 16 2023,April 01 2024,0.1,4,12,15,10,0,0,549,54,67,5,0,0,0,0,0,0,0,https://www.onthesnow.com/pennsylvania/montage-mountain/ski-resort.html,0,0,0
Montana Snowbowl,P.O. Box 8107,59807 ssoula,Montana,United States,7600,2600,5000,0,0,0,0,1,2,2,20,1.2,0,300,December 09 2023,April 16 2024,0.1,23,38,42,26,5,0,299,709,779,709,24,50,47,24,50,47,24,https://www.onthesnow.com/montana/montana-snowbowl/ski-resort.html,0,0,0
Mount Holly,13536 South Dixie Highway,48442 Holly,Michigan,United States,1105,350,755,0,1,0,2,3,1,6,100,0.1,0,42,November 22 2023,March 17 2024,0.3,8,8,15,7,0,0,0,626,800,728,37,45,0,0,0,0,0,https://www.onthesnow.com/Michigan/mount-holly/ski-resort.html,0,0,0
Mount Kato,20461 Hwy 66,56001 Mankato,Minnesota,United States,540,240,300,0,0,0,5,0,3,2,55,1,115,50,December 17 2023,March 26 2024,2,13,15,18,5,0,0,339,399,339,0,28,34,28,0,36,46,36,https://www.onthesnow.com/Minnesota/mount-kato-ski-area/ski-resort.html,0,0,0
Mt. Peter,Rte 17A & Old Mt Peter Rd,10990 Warwick,New York,United States,1250,450,750,0,0,0,1,0,2,4,69,1,100,50,December 17 2023,March 26 2024,0,0.9,5,9,9,0,0,519,549,30,35,49,54,45,50,0,0,0,https://www.onthesnow.com/new-york/mount-peter-ski-area/ski-resort.html,0,0,0
Mount Pleasant, 23301 Plank Rd ,16403  Venango,Pa 16440,United States,1540,340,1200,0,0,0,0,1,0,1,35,0.5,75,100,December 23 2023,March 12 2024,0,4,28,25,4,0,0,350,0,28,30,0,0,30,33,0,0,0,https://www.onthesnow.com/pennsylvania/mount-pleasant-of-edinboro/ski-resort.html,0,0,0
Mt. Snow,39 Mount Snow Road,05356 West Dover,Vermont,United States,3600,1700,1900,0,3,1,1,6,4,4,480,3,135,156,November 11 2022,April 23 2023,7,31,28,39,29,5,0,439,859,0,0,0,0,0,0,0,0,0,https://www.onthesnow.com/vermont/mount-snow/ski-resort.html,0,0,0
Mt. Southington,P.O. Box 347,06489 Southington,Connecticut,United States,525,425,100,0,0,0,0,2,2,3,51,0.8,63,80,December 16 2023,March 17 2024,0,6,11,19,8,0,0,225,675,725,675,15,50,60,50,15,50,60,https://www.onthesnow.com/connecticut/mount-southington-ski-area/ski-resort.html,0,0,0
Mt. Sunapee,P.O. Box 2021 Route 103,03255-1856 Newbury,New Hampshire,United States,2743,1510,1233,0,2,0,1,2,1,3,215,0.8,130,100,November 23 2023,April 07 2024,1,23,21,30,18,3,0,439,859,0,0,0,0,0,0,0,0,0,https://www.onthesnow.com/new-hampshire/mount-sunapee/ski-resort.html,0,0,0
Mountain Creek,200 Route 94,07462 Vernon,New Jersey,United States,1480,1040,440,1,2,0,2,1,1,2,167,2,90,65,December 18 2023,March 25 2024,0,6,8,15,11,0,0,599,599,599,0,99.99,99.99,99.99,0,99.99,99.99,99.99,https://www.onthesnow.com/new-jersey/mountain-creek-resort/ski-resort.html,0,0,0
Mountain High,P.O. Box 3010,92397 Wrightwood,California,United States,8200,1600,6600,0,2,0,2,2,5,3,275,1.6,118,108,November 19 2022,May 01 2023,4,19,20,13,13,0,0,0,449,899,0,0,49,84,0,0,49,84,https://www.onthesnow.com/california/mountain-high/ski-resort.html,0,0,0
Mt. Abram Ski,Howe Hill Road,04255 Greenwood,Maine,United States,2250,1150,1050,0,0,0,0,0,2,3,175,0.5,120,125,December 16 2023,March 24 2024,0,14,14,19,10,0.6,0,429,569,429,29,29,29,39,49,39,0,0,https://www.onthesnow.com/maine/mt-abram-ski-resort/ski-resort.html,0,0,0
Mt. Ashland,P.O. Box 220,97520-0008 Ashland,Oregon,United States,7533,1150,6383,0,0,0,0,2,2,1,240,1,94,270,December 10 2022,April 23 2023,6,25,33,29,26,3,0,299,549,599,0,52,62,0,0,59,69,0,https://www.onthesnow.com/oregon/mount-ashland/ski-resort.html,0,Check terrain information.,0
Mt. Baker,1420 Iowa St.,98229 Bellingham,Washington,United States,5000,1500,3500,0,0,0,8,0,0,2,1000,0.7,143,663,November 16 2023,April 21 2024,46,131,104,103,92,34,0,264.5,350.75,954,569.25,37.04,54.63,87.04,73.15,37.04,54.63,87.04,https://www.onthesnow.com/washington/mt-baker/ski-resort.html,0,Check terrain information.,0
Mt. Baldy,P.O. Box 459,91759 Mt. Baldy,California,United States,8600,2100,6500,0,0,0,0,0,4,0,80,2.5,175,178,November 25 2022,May 29 2023,0,5,11,12,8,0,0,39,49,69,39,39,49,69,39,0,0,0,https://www.onthesnow.com/california/mt-baldy/ski-resort.html,Check gondola information.,0,0
Mt. Bachelor,P.O. Box 1000,97702 Bend,Oregon,United States,9065,3365,5700,0,8,0,1,3,0,3,20,4,185,462,November 25 2022,May 28 2023,22,103,78,84,68,40,9,279,439,1249,799,62,88,109,88,62,88,109,https://www.onthesnow.com/oregon/mt-bhelor/ski-resort.html,0,0,0
Mt. Bohemia,L La Belle,53066 Michigan,Michigan,United States,1500,900,600,0,0,0,0,1,1,0,620,2.3,83,273,December 27 2023,April 07 2024,0,9,35,38,17,6,0,109,68,68,68,68,68,68,68,68,0,0,https://www.onthesnow.com/Michigan/mount-bohea/ski-resort.html,Check gondola information.,Check terrain information.,0
Mt. Brighton,4141 Bauer Road,48116 Brighton,Michigan,United States,1330,230,1100,0,0,0,2,3,0,7,130,0.1,111,60,December 09 2023,March 10 2024,0.6,7,12,14,6,0,0,439,859,60,94,65,60,94,65,0,75,0,https://www.onthesnow.com/Michigan/mount-brighton/ski-resort.html,0,0,0
Mt. Crescent,P.O. Box 69,51526 Crescent,Iowa,United States,1500,300,1200,0,0,0,1,0,1,0,50,0.2,0,30,December 20 2023,March 10 2024,0,0.8,0.8,0.6,0.2,0,0,299,299,299,5,24,29,24,5,34,39,34,https://www.onthesnow.com/iowa/mt-crescent-ski-area/ski-resort.html,Check gondola information.,0,0
Mt. Holiday,3100 Holiday Road,49684 Traverse City,Michigan,United States,440,200,240,0,0,0,0,0,2,2,45,0.1,100,120,December 28 2023,March 17 2024,0,2,7,5,0.2,0,0,0,269,269,0,0,20,22,0,0,28,34,https://www.onthesnow.com/Michigan/mount-holiday-ski-area/ski-resort.html,0,0,0
Mt. Hood Meadows,P.O. Box 470,97041 Mt. Hood,Oregon,United States,7300,2777,4523,0,6,0,0,0,5,1,2150,3,150,430,November 29 2023,April 28 2024,17,87,65,82,58,38,2,259,379,499,389,0,0,0,0,0,0,0,https://www.onthesnow.com/oregon/mt-hood-meadows/ski-resort.html,0,Check terrain information.,0
Mt. Hood Skibowl,PO Box 280,97028 Government Camp,Oregon,United States,5100,1500,3600,0,0,0,0,0,4,6,29,3,125,300,December 02 2023,April 28 2024,3,29,41,50,36,12,0,274,381,499,274,0,41,70,40,0,41,70,https://www.onthesnow.com/oregon/mt-hood-ski-bowl/ski-resort.html,0,0,0
Mt. Jefferson,P. O. Box 35,04455 Lee,Maine,United States,753,432,351,0,0,0,0,0,0,3,12,0.3,0,0,December 21 2023,March 08 2024,0,0,0.2,0.4,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.onthesnow.com/maine/mt-jefferson/ski-resort.html,0,Check terrain information.,Check ticket prices.
Mt. La Crosse,P.O. Box 9,54602 La Crosse,Wisconsin,United States,1110,516,594,0,0,0,0,0,3,1,100,0.4,115,40,December 23 2023,March 13 2024,0,6,8,7,3,0,0,535,53,56,53,56,27,29,100,107,0,0,https://www.onthesnow.com/wisconsin/mount-la-crosse/ski-resort.html,0,0,0
Mt. Rose Ski Tahoe,22222 Mt. Rose Hwy.,89511-8705 Reno,Nevada,United States,9700,1800,8260,0,0,2,2,2,0,2,330,2.5,152,350,November 10 2023,April 28 2024,21,73,59,52,59,12,2,375,795,135,135,0,0,0,0,0,0,0,https://www.onthesnow.com/nevada/mt-rose-ski-tahoe/ski-resort.html,0,0,0
Mt. Shasta,PO Box 1180,96067 Mount Shasta,California,United States,6890,1435,5500,0,0,0,1,3,0,2,225,1.1,140,300,December 10 2022,April 10 2023,0.8,28,55,35,41,5,0,449,549,699,499,16,33,49,33,20,40,59,https://www.onthesnow.com/california/mount-shasta-board-ski-park/ski-resort.html,0,0,0
Mt. Spokane,29500 North Mt. Spokane Park Dr.,99021 Mead,Washington,United States,5889,2000,4200,0,0,0,0,1,5,2,1704,0.6,100,300,December 03 2023,April 09 2024,5,40,44,31,18,3,0,629,799,629,0,38,45,38,0,49,59,49,https://www.onthesnow.com/washington/mt-spokane-ski-and-snowboard-park/ski-resort.html,0,Check terrain information.,0
Mulligan's Hollow,Box 969,49417 Grand Haven,Michigan,United States,700,130,570,0,0,0,0,0,0,5,10,0.2,0,60,December 26 2023,March 17 2024,0,1,3,3,0.1,0,0,240,240,240,240,15,20,0,0,0,0,0,https://www.onthesnow.com/Michigan/mulligans-hollow-ski-bowl/ski-resort.html,0,0,0
Nashoba Valley,PO Box 309,01886 Westford,Masshusetts,United States,440,240,200,0,0,0,0,3,1,6,52,0.5,112,55,December 18 2023,March 20 2024,0,7,13,18,6,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.onthesnow.com/masshusetts/nashoba-valley/ski-resort.html,0,0,Check ticket prices.
New Hermon Mountain,RR1 Box 3347,4981 Stockton Springs,Maine,United States,450,350,100,0,0,0,0,0,1,2,70,1.9,102,90,December 30 2023,March 26 2024,0,4,12,18,5,0,0,230,250,350,27,32,27,32,22,27,0,0,https://www.onthesnow.com/maine/new-hermon-mountain/ski-resort.html,0,0,0
Nordic Mountain,W5806 Cty Rd W,54984 Wild Rose,Wisconsin,United States,1137,265,872,0,0,0,0,1,1,5,60,1,95,60,November 25 2023,April 02 2024,1,13,12,11,4,0,0,479,499,499,479,0,26,39,26,0,0,0,https://www.onthesnow.com/wisconsin/nordic-mountain/ski-resort.html,0,0,0
Nordic Valley,3567 Nordic Valley Way,84310 Eden,Utah,United States,6400,960,5440,0,0,1,0,0,3,1,300,0.4,105,300,December 09 2023,April 07 2024,0.6,28,40,31,16,3,0,525,625,899,675,30,45,35,35,50,40,0,https://www.onthesnow.com/utah/wolf-creek/ski-resort.html,0,Check terrain information.,0
Northstar California,PO Box 129,96160 Truckee,California,United States,8610,2280,6330,2,7,1,1,2,0,7,1500,1.4,135,350,November 26 2023,April 28 2024,23,83,81,76,73,14,0,439,859,163,116,199,163,91,126,154,126,326,https://www.onthesnow.com/california/northstar-california/ski-resort.html,0,0,0
Norway Mountain,P.O. Box 95,49870 Norway,Michigan,United States,1335,500,835,0,0,0,0,1,2,3,186,1.4,110,100,December 16 2023,April 21 2024,0,3,4,1,0.8,0,0,25,37,45,37,0,0,0,0,0,0,0,https://www.onthesnow.com/Michigan/norway-mountain/ski-resort.html,0,0,0
Nubs Nob,500 Nub's Nob Road,49740 Harbor Springs,Michigan,United States,1338,427,911,0,0,0,3,4,2,1,248,0.9,133,135,November 24 2023,April 07 2024,4,27,33,23,13,1,0,300,450,700,600,50,60,65,60,63,73,85,https://www.onthesnow.com/Michigan/nubs-nob-ski-area/ski-resort.html,0,0,0
Oak Mountain,141 Novosel Way,12164 Speculator,NY,United States,2400,650,1750,0,0,0,1,0,0,3,18,1.2,0,120,December 17 2023,March 25 2024,0,12,15,17,12,0,0,315,415,315,0,29,40,29,0,29,40,29,https://www.onthesnow.com/new-york/oak-mountain/ski-resort.html,0,0,0
Ober Gatlinburg Ski,1001 Parkway,37738 Gatlinburg,Tennessee,United States,3300,600,2700,0,0,0,2,0,1,1,10,1,83,35,November 25 2023,March 31 2024,0.2,1,8,7,1,0,0,69,299,399,299,0,30,36,30,0,55,65,https://www.onthesnow.com/tennessee/ober-gatlinburg-ski-resort/ski-resort.html,0,Check terrain information.,0
Okemo Mountain,77 Okemo Ridge Road,O5149 Ludlow,Vermont,United States,3344,2200,1144,0,4,1,5,3,0,7,654,3.4,150,200,November 18 2023,April 14 2024,7,28,25,32,25,4,0,393,297,0,0,0,0,0,0,0,0,0,https://www.onthesnow.com/vermont/okemo-mountain-resort/ski-resort.html,0,0,0
Omni Homestead,PO Box 2000,24445 Hot Springs,Virginia,United States,3200,700,2500,0,0,0,0,0,1,1,100,0.5,91,50,December 26 2023,March 03 2024,0,0.5,4,5,1,0,0,169,199,49,59,0,0,0,0,0,0,0,https://www.onthesnow.com/virginia/the-homestead-ski-area/ski-resort.html,0,0,0
Otis Ridge,159 Monterey Road - Route 23,MA 01253 Otis,Masshusetts,United States,1700,400,1300,0,0,0,0,0,1,3,55,1,106,70,December 17 2023,March 26 2024,0,2,7,9,7,0,0,109,289,289,15,20,20,0,15,35,40,0,https://www.onthesnow.com/masshusetts/otis-ridge-ski-area/ski-resort.html,0,0,0
