,ski_resort,airport_1,distance_1,lat,long,airport_2,distance_2,lat_2,long_2,airport_3,distance_3,lat_3,long_3
0,49 Degrees North,Colville Municipal,32.024440803607554,48.54156944,-117.8844247,Ione Municipal,52.86744192379562,48.70727528,-117.41260359999998,Wiley Post,2171.173214639305,35.53455,-97.64721556
1,Afton Alps,Lake Elmo,16.70792861898898,44.99748861,-92.85568111,South St.Paul Municipal,19.07907653026623,44.85713278,-93.03285389,Babelthoup/Koror,12532.478177942337,7.367222,134.544167
2,Alpental,Cle Elum Municipal,45.31106002145224,47.18317583,-120.884525,Renton Municipal,62.3560568304202,47.49313889,-122.21575,Palmdale Production Flight,1445.818249437793,34.62938889,-118.0845528
3,Alpine Valley Ohio,Geauga County,18.511067513998302,41.44960972,-81.06292972,Cuyahoga County,19.327602708404115,41.56512389,-81.48635389,Rock County,653.3384682226842,42.61958222,-89.04034028
4,Alpine Valley Wisconsin,East Troy Municipal,2.9667503598466527,42.79711111,-88.3725,Palmyra Municipal,19.11414907897272,42.88355556,-88.59743056,Sac City Municipal,540.0303043887802,42.37908333,-94.97958333
5,Alta,Heber City Municipal/Russ McDonald ,21.310202361310484,40.48180556,-111.42880559999999,Salt Lake City Municipal 2,30.15568181369681,40.61954,-111.9928858,Ruth,987.4901663595957,40.21125917,-123.29752309999999
6,Alyeska,Girdwood,2.2589219919772177,60.96609583,-149.12578919999999,Hope,25.679319942235786,60.90415028,-149.6238389,Thompson-Robbins,5021.854293137739,34.57648972,-90.67588639
7,Andes Tower Hills,Chandler ,18.322315713195042,45.86629833,-95.39466806,Elbow Lake Municipal,31.757633320110003,45.98607111,-95.99199861,Jonesboro,1537.9125737957622,32.20199028,-92.73293028
8,Angel Fire,Angel Fire,3.2829378630916737,36.42240972,-105.2892967,Springer Municipal,60.026491427430784,36.32697806,-104.61971170000001,Salem Memorial,1221.2985964057634,37.61523333,-91.60444167
9,Anthony Lakes,Baker City Municipal,26.403521461229168,44.83733333,-117.80908329999998,La Grande/Union County,32.55381402966117,45.29020944,-118.0071108,Panola County-Sharpe ,2494.0538396333595,32.17608333,-94.29880556
10,Appalachian Ski Mountain,Johnson County,34.10982114551501,36.41789833,-81.82511528,Morganton-Lenoir,35.39009364444582,35.82149222,-81.61073639,White County,674.4259717196952,40.70881639,-86.76676139
11,Appalachian Ski Mountain,Johnson County,34.10982114551501,44.38108528,-106.72178970000002,Morganton-Lenoir,35.39009364444582,35.82149222,-81.61073639,White County,674.4259717196952,40.70881639,-86.76676139
12,Apple Mountain,Mbs International,7.232834007948978,43.53291472,-84.07964722,James Clements Municipal,19.033867404545315,43.54691667,-83.89550222,Phillipsburg,396.3274279832077,39.91344194,-84.40030889
13,Arapahoe Basin,Lake County,51.27973380651036,42.16111111,-120.39907029999999,Eagle County Regional,74.88406972554733,39.64256778,-106.91769529999999,Big Sandy,1002.8395555026603,48.16247972,-110.11326310000001
14,Arapahoe Basin,Lake County,51.27973380651036,39.2202675,-106.3166906,Eagle County Regional,74.88406972554733,39.64256778,-106.91769529999999,Big Sandy,1002.8395555026603,48.16247972,-110.11326310000001
15,Arizona Snowbowl,Flagstaff Pulliam,6.89458806968982,35.13845472,-111.67121829999999,Sedona,40.83664389029367,34.84862889,-111.7884614,Pottstown Muni,3191.511544692565,40.26040083,-75.67085306
16,Aspen Snowmass,Aspen-Pitkin Co/Sardy ,5.679059399701363,39.22316,-106.868845,Eagle County Regional,50.93305359186882,39.64256778,-106.91769529999999,"W. H. \Bud\"" Barron """,2262.142050242144,32.56445806,-82.98525556
17,Attitash,Eastern Slopes Regional,24.676147234018273,43.99114472,-70.94787444,Berlin Municipal,55.9552295105784,44.57537278,-71.17593167,Pine River Regional,1824.3117674772134,46.7247875,-94.3817
18,Badger Pass,Lee Vining,48.031549459545204,37.95825861,-119.1065375,Mariposa-Yosemite,48.14722893466472,37.51077,-120.0418439,Jefferson County Airpark,3343.135259004509,40.35944306,-80.70007806
19,Bear Creek Mountain,Allentown Queen City Muni,15.633126066007542,40.57027778,-75.48830556,Quakertown,21.128420059574307,40.43521194,-75.38192861,Mobridge Municipal,2082.975192974961,45.54650361,-100.40791920000001
20,Bear Mountain,Big Bear City,5.674777599160252,34.26361944,-116.854475,San Bernardino International,34.03437804930277,34.09535361,-117.23487420000001,Algona Municipal,2187.8758054536515,43.07791056,-94.27199278
21,Bear Valley,Lake Tahoe,47.88676864556695,38.89388167,-119.9953347,Columbia,58.32243298263474,38.03042306,-120.41455559999999,Dumas Municipal,2597.924598295004,33.8845475,-91.53429111
22,Beaver Creek,McElroy Airfield,45.63610202132807,40.05367972,-106.3689467,Eagle County Regional,46.20402576319075,39.64256778,-106.91769529999999,Big Sandy,993.1092500337611,48.16247972,-110.11326310000001
23,Beaver Mountain,Logan-Cache,5.855693748447605,41.78773083,-111.85268219999999,Brigham City,27.95640154493344,41.55239139,-112.0622625,Skagway,2547.141523488623,59.46006194,-135.3156636
24,Belleayre,Maben,16.195959017798707,42.27230778,-74.39403667,Freehold,42.73536530307899,42.36425,-74.06596806,Grandfield Municipal,2284.2249831966624,34.23758944,-98.74200917
25,Berkshire East,Harriman And West,25.715389047199924,42.69591417,-73.17038306,Turners Falls,28.69132681028623,42.59136361,-72.52275472,Montauk,189.53294605580535,41.07694333,-71.92039972
26,Big Bear,Cherry Ridge,22.417617536164876,41.51533861,-75.25148139,Sullivan Cty Intl,29.13084471141035,41.70164917,-74.79501389,McCook Municipal,2150.698201416647,40.20638889,-100.5918056
27,Big Boulder,Pocono Mountains Muni,18.594129051680607,41.1374775,-75.37887833,Wilkes-Barre Wyoming Valley,31.390901973056035,41.29717222,-75.85120556,Brenham Municipal,2224.2015683461923,30.219,-96.37427778
28,Big Powderhorn Mountain,Gogebic County,3.4648941637586566,46.52747472,-90.13139667,Manitowish Waters,46.084998822960905,46.12197222,-89.88233333,Simsbury Tri-Town,1467.8586644614943,41.91676389,-72.77731778
29,Big Sky,Ennis - Big Sky,26.679464336937567,45.27175833,-111.6486389,Gardiner,49.9286016591752,45.04993556,-110.7466008,Gillespie County,1988.9727196193433,30.24369444,-98.90952778
30,Big Squaw,Greenville Municipal,3.064751024994989,45.46302778,-69.55161111,Dover/Foxcroft,41.532064596548665,45.18338806,-69.2328225,I H Bass Jr Memorial,2353.7722536081974,31.01546028,-89.48256556
31,Big Squaw,Greenville Municipal,3.064751024994989,43.14228139,-85.25380722,Dover/Foxcroft,41.532064596548665,45.18338806,-69.2328225,I H Bass Jr Memorial,2353.7722536081974,31.01546028,-89.48256556
32,Big Squaw,Greenville Municipal,3.064751024994989,31.84540222,-86.61044583,Dover/Foxcroft,41.532064596548665,45.18338806,-69.2328225,I H Bass Jr Memorial,2353.7722536081974,31.01546028,-89.48256556
33,Bittersweet,Padgham ,8.964344978368866,42.53098278,-85.82513556,Kalamazoo County,30.893579752349027,42.234875,-85.55205749999999,Cheyenne Eagle Butte,1273.85946256355,44.984375,-101.2510417
34,Black Mountain,Laurence G Hanscom ,10.364776937036371,42.46995306,-71.28903000000001,Norfolk,31.07664014482758,42.12787528,-71.37033556,McCreary County ,1281.422285719812,36.69591306,-84.39160389
35,Blacktail Mountain,Kalispell City,18.51284095894385,48.17856944,-114.3037408,Polson,36.2270797089824,47.69543861,-114.1851178,Big Timber,405.65754976569565,45.80638889,-109.9811111
36,Blandford,Barnes Municipal,17.632267442699334,42.15773111,-72.71562028,La Fleur,30.735090392356035,42.32816806,-72.61151667,Brookings,4169.392058279436,42.07455556,-124.2900939
37,Blue Hills,Norwood Memorial,5.210921332962469,42.19079694,-71.17310389,Gen Edw L Logan Intl,19.034859843526718,42.3643475,-71.00517917,McCreary County ,1292.1858620172263,36.69591306,-84.39160389
38,Blue Knob,Altoona-Blair Cty,11.001007741735565,40.29637222,-78.32002306,Bedford County,24.09546657877557,40.08536861,-78.51221778,Hawk Inlet SPB,4381.913646562265,58.12744139,-134.7559531
39,Blue Mountain,Carbon Cty-Jake Arner Memorial,12.766521210028312,40.80950889,-75.76149639,Lehigh Valley International,21.900628784021457,40.65236278,-75.44040167,Merced Municipal/MacReady ,3855.275141298434,37.28472861,-120.5138858
40,Bluewood,Walla Walla Regional,35.20305638385355,46.09456167,-118.2880367,Whitman County Memorial,73.19670227310009,46.8584975,-117.41379640000001,St Clair Memorial,2373.9097627501806,38.37594333,-90.97073944
41,Bogus Basin,Boise Air Terminal,8.883013340426134,43.56444444,-116.22277779999999,Nampa Muni,26.449511371918387,43.58133333,-116.52305559999999,Unalaska,3772.0947497111847,53.90013889,-166.5435
42,Bolton Valley,Morrisville-Stowe State,3.9307216007300916,44.53460806,-72.61400444,Edward F Knapp State,39.52654112563252,44.203505,-72.56232944,Prague Municipal,2278.3652005923273,35.48201417,-96.71862944
43,Boreal,Truckee-Tahoe,3.650247248672019,39.32004222,-120.13956280000001,Reno/Tahoe International,40.04580296080061,39.49857611,-119.76806470000001,Greenville Muni,3348.3627471239724,41.44683167,-80.39126167
44,Boston Mills and Brandywine,Kent State University,15.104896433990424,41.15186167,-81.41658306,Freedom ,21.551613517773877,41.13144444,-81.76491667,Taylor County,539.238451334483,37.35827778,-85.30941667
45,Bousquet,Pittsfield Municipal,2.376368164900054,44.76852778,-69.37441667,Columbia Cty,38.53362650411842,42.29130028,-73.71031944,White Cloud,1023.9844364163778,43.55974139,-85.77421944
46,Bousquet,Pittsfield Municipal,2.376368164900054,42.42684667,-73.29292806,Columbia Cty,38.53362650411842,42.29130028,-73.71031944,White Cloud,1023.9844364163778,43.55974139,-85.77421944
47,Boyne Highlands,Harbor Springs,5.312451499370676,45.42556528,-84.91338389,Pellston Regional  of Emmet County,15.513131314678276,45.5709275,-84.796715,Tacoma Narrows,2866.9124915226384,47.26793111,-122.5780997
48,Boyne Mountain,Otsego County,23.973071820783098,45.01354806,-84.70318944,Charlevoix Municipal,31.931297371930167,45.30477778,-85.27477778,Tacoma Narrows,2878.7281223279406,47.26793111,-122.5780997
49,Bradford,Lawrence Municipal,6.816853863634484,39.01115222,-95.21657694,Beverly Municipal,24.393316692092093,42.58417111,-70.91651833,Henry County,1082.2403242358946,41.37427778,-84.06791667
50,Bradford,Lawrence Municipal,6.816853863634484,39.01115222,-95.21657694,Beverly Municipal,24.393316692092093,42.58417111,-70.91651833,Henry County,1082.2403242358946,36.33822472,-88.38287861
51,Bradford,Lawrence Municipal,6.816853863634484,42.71720944,-71.12343,Beverly Municipal,24.393316692092093,42.58417111,-70.91651833,Henry County,1082.2403242358946,41.37427778,-84.06791667
52,Bradford,Lawrence Municipal,6.816853863634484,42.71720944,-71.12343,Beverly Municipal,24.393316692092093,42.58417111,-70.91651833,Henry County,1082.2403242358946,36.33822472,-88.38287861
53,Brantling Ski,Williamson/Sodus,10.419999916046107,43.23472222,-77.12097222,Finger Lakes Regional,37.83544307662998,42.88062278,-76.78162028,Ames Municipal,1359.6078193741455,41.99206972,-93.62180139
54,Breckenridge,Lake County,37.650223555657234,42.16111111,-120.39907029999999,Buena Vista Muni,74.56056688826172,38.81416194,-106.1206939,Double Eagle II,486.81369165811674,35.14515278,-106.79516170000001
55,Breckenridge,Lake County,37.650223555657234,39.2202675,-106.3166906,Buena Vista Muni,74.56056688826172,38.81416194,-106.1206939,Double Eagle II,486.81369165811674,35.14515278,-106.79516170000001
56,Bretton Woods,Mt Washington Regional,15.106891595405589,44.36761639,-71.54447111,Berlin Municipal,41.818706875794554,44.57537278,-71.17593167,Pine River Regional,1802.429955982637,46.7247875,-94.3817
57,Brian Head,Parowan,18.81225089880275,37.85969694,-112.816055,Cedar City Muni,21.821358599741387,37.70097028,-113.098575,Sheridan County,926.8516337205218,44.76919556,-106.9802794
58,Bridger Bowl,Gallatin ,21.35017213159304,45.77690139,-111.15300719999999,Mission ,36.177003157762336,45.69938889,-110.44830559999998,New Holstein Municipal,1799.9072866756787,43.94424111,-88.1134775
59,Brighton,Heber City Municipal/Russ McDonald ,20.911227052662042,40.48180556,-111.42880559999999,Salt Lake City Municipal 2,33.73111758063354,40.61954,-111.9928858,Ruth,991.1832218425523,40.21125917,-123.29752309999999
60,Bristol Mountain,Canandaiga,19.27468822126643,42.90718611,-77.32162639,Penn Yan,30.989962209073134,42.63813556,-77.05306083,Grider ,1580.149321839761,34.17498722,-91.93472028
61,Bromley Mountain,Granville,32.871261291960906,43.42507111,-73.26205306,Fair Haven,52.81352039281915,43.61534389,-73.27455556,Abilene Regional,2610.537426635643,32.41132,-99.68189722
62,Bruce Mound,Neillsville Municipal,6.459146244731966,44.55812861,-90.51224694,Marshfield Municipal,33.124094770198305,44.63687972,-90.18932667,Centennial,1298.6579564344424,39.57012833,-104.8492942
63,Brundage Mountain,McCall,2.281637765096324,44.88879556,-116.1017497,Cascade,46.544961915791184,44.4937825,-116.01624220000001,Panola County-Sharpe ,2354.649922322157,32.17608333,-94.29880556
64,Bryce,Luray Caverns,28.154450554424628,38.66705556,-78.50058333,Front Royal-Warren County,45.71395404046303,38.9175325,-78.25351472,Mountain Village,6016.803542420944,62.09536222,-163.6820594
65,Buck Hill,Airlake ,11.606467484089341,44.62785361,-93.22810806,Minneapolis-St Paul Intl,18.135550368778986,44.88054694,-93.2169225,Babelthoup/Koror,12510.435941120386,7.367222,134.544167
66,Buena Vista,Bemidji-Beltrami County,17.235772887519204,47.50942417,-94.93372333,Fosston Municipal,66.57591865729658,47.59282028,-95.77349889,Hooker Municipal,1308.5779414807732,36.85708306,-101.22709029999999
67,Buffalo Ski Club,Buffalo Airfield,10.735727130784854,42.86200306,-78.71658528,Buffalo Niagara Intl,19.25672118152051,42.94052472,-78.73216667,Smithville Municipal,2164.911364494138,35.98531194,-85.80931806
68,Buffalo Ski Club,Buffalo Airfield,10.735727130784854,42.86200306,-78.71658528,Buffalo Niagara Intl,19.25672118152051,42.94052472,-78.73216667,Smithville Municipal,2164.911364494138,30.03048028,-97.16687194
69,Burke Mountain,Caledonia County State,6.528732128691559,44.56911417,-72.01797889,Berlin Municipal,60.5676122708845,44.57537278,-71.17593167,Prague Municipal,2327.5131963180697,35.48201417,-96.71862944
70,Caberfae Peaks Ski Golf,Wexford County,24.18007406232087,44.27531333,-85.41892694,Manistee County Blacker,42.24636823383414,44.27319722,-86.2490025,Antlers Municipal,1405.3916025442807,34.19260083,-95.64985889
71,Camden,Islesboro,16.058923501096757,44.30285556,-68.91058722,Knox County Regional,16.872640721459184,44.06008333,-69.09925,Martin ,2215.034534271704,42.45416111,-96.47253111
72,Camelback Mountain,Stroudsburg-Pocono,12.173456933083049,41.03587167,-75.16067889,Blairstown,26.96972519445318,40.97114556,-74.99747556,Brenham Municipal,2243.2419285493274,30.219,-96.37427778
73,Campgaw Mountain,Greenwood Lake,14.755137957517652,41.12854806,-74.34584611,Lincoln Park,15.090353783648291,40.94752444,-74.31450139,Barnwell County,1074.7557025142642,33.25777778,-81.38833333
74,Canaan Valley,Grant County,31.447322828954857,47.20770806,-119.32018970000001,Elkins-Randolph Co-Jennings Randolph,43.09531888490233,38.88944444,-79.85713889,Middlebury State,756.1099858223234,43.98478278,-73.09594889
75,Canaan Valley,Grant County,31.447322828954857,32.63654694,-108.15638529999998,Elkins-Randolph Co-Jennings Randolph,43.09531888490233,38.88944444,-79.85713889,Middlebury State,756.1099858223234,43.98478278,-73.09594889
76,Canaan Valley,Grant County,31.447322828954857,38.99419444,-79.14438889,Elkins-Randolph Co-Jennings Randolph,43.09531888490233,38.88944444,-79.85713889,Middlebury State,756.1099858223234,43.98478278,-73.09594889
77,Cannon Mountain,Mt Washington Regional,27.521646809923986,44.36761639,-71.54447111,Post Mills,53.503759314328065,43.884235,-72.25370333,Pine River Regional,1787.3182024299379,46.7247875,-94.3817
78,Cannonsburg,Sparta,18.759572316377664,43.12860833,-85.67689778,Kent County International,19.725172785415058,42.88081972,-85.52276778,Tuluksak,5190.466778207511,61.09676222,-160.96841669999998
79,Cascade Mountain,Portage Municipal,6.84289865192589,43.560092499999996,-89.48309278,Sauk - Prairie,30.011816026621563,43.296932500000004,-89.75595639,Waldron Municipal,1037.4551993174691,34.87509944,-94.10993056
80,Cataloochee,Jackson County,29.465164881010654,34.17402472,-83.56066528,Macon County,48.21577673004761,35.222595,-83.41904389,Anaktuvuk Pass,5499.072337094435,68.1343225,-151.74168
81,Cataloochee,Jackson County,29.465164881010654,36.39728139,-85.64164278,Macon County,48.21577673004761,35.222595,-83.41904389,Anaktuvuk Pass,5499.072337094435,68.1343225,-151.74168
82,Cataloochee,Jackson County,29.465164881010654,35.3168625,-83.20936806,Macon County,48.21577673004761,35.222595,-83.41904389,Anaktuvuk Pass,5499.072337094435,68.1343225,-151.74168
83,Cataloochee,Jackson County,29.465164881010654,29.001009999999997,-96.58194667,Macon County,48.21577673004761,35.222595,-83.41904389,Anaktuvuk Pass,5499.072337094435,68.1343225,-151.74168
84,Cataloochee,Jackson County,29.465164881010654,38.92977778,-81.81947222,Macon County,48.21577673004761,35.222595,-83.41904389,Anaktuvuk Pass,5499.072337094435,68.1343225,-151.74168
85,Catamount Ski Ride Area,Great Barrington,10.050023360948623,42.18421417,-73.40324056,Columbia Cty,19.696729223547337,42.29130028,-73.71031944,Illinois Valley,4073.7259175166523,42.10372417,-123.68229109999999
86,Chestnut Mountain,Dubuque Municipal,23.050741222959143,42.40295944,-90.70916722,Platteville Municipal,30.3469384665935,42.68935583,-90.44439278,Florida Keys Marathon,2147.0432293620393,24.72614083,-81.05137806
87,Christie Mountain,Rusk County,21.6503491962458,32.14172222,-94.85172222,Rice Lake Regional-Carl's ,39.28423261787354,45.41809056,-91.77365194,Siskiyou County,2527.8251992547976,41.78144167,-122.4681094
88,Christie Mountain,Rusk County,21.6503491962458,45.49825694,-91.00186361,Rice Lake Regional-Carl's ,39.28423261787354,45.41809056,-91.77365194,Siskiyou County,2527.8251992547976,41.78144167,-122.4681094
89,Christmas Mountain,Baraboo - Wisconsin Dells,12.73159393891737,43.52195389,-89.77090222,Reedsburg Municipal,13.524273383633435,43.52589944,-89.98322194,Wall Municipal,993.8014020320112,43.99498861,-102.25043670000001
90,Coffee ll,Winona Muni-Max Conrad,41.60407485847426,44.07721306,-91.70831694,Menomonie Municipal - Score ,58.783719121321305,44.89234639,-91.86777944,Pleasanton Municipal,1808.4863141464148,28.95419444,-98.51998917
91,Cooper Spur,Hood River,27.789284596204016,45.67261833,-121.5364625,Columbia Gorge Regional,39.35579090432427,45.61854556,-121.1673439,Cheyenne County Municipal,1732.8756381563394,39.76104833,-101.79584140000001
92,Copper Mountain,Lake County,34.33267823476256,42.16111111,-120.39907029999999,Eagle County Regional,67.51063516432302,39.64256778,-106.91769529999999,Big Sandy,1013.7716555358023,48.16247972,-110.11326310000001
93,Copper Mountain,Lake County,34.33267823476256,39.2202675,-106.3166906,Eagle County Regional,67.51063516432302,39.64256778,-106.91769529999999,Big Sandy,1013.7716555358023,48.16247972,-110.11326310000001
94,Cranmore Mountain,Eastern Slopes Regional,16.022163618438004,43.99114472,-70.94787444,Oxford County Regional,52.94004566621632,44.15742611,-70.48129583,O Neill Municipal,2228.1504344152404,42.46988889,-98.68805556
95,Crested Butte Mountain,Aspen-Pitkin Co/Sardy ,35.51106855100359,39.22316,-106.868845,Gunnison County,42.1317269734083,38.53396333,-106.9331817,"W. H. \Bud\"" Barron """,2268.407814661082,32.56445806,-82.98525556
96,Crotched Mountain,Jaffrey Municipal Silver Ranch,25.130794302242982,42.80513417,-72.00302194,Dillant-Hopkins,34.3158973887642,42.89839944,-72.27078111,Montauk,215.19505619204,41.07694333,-71.92039972
97,Crystal Mountain Michigan,Frankfort Dow Memorial,20.347382977883147,44.62506389,-86.20061944,Manistee County Blacker,34.203986918751234,44.27319722,-86.2490025,Jasper County -Bell ,1670.465708413,30.89058333,-94.03483333
98,Crystal Mountain Washington,Packwood,41.25886242756813,46.60400083,-121.67786640000001,Pierce County ,64.05275527636881,47.10391667,-122.28719440000002,Palmdale Production Flight,1398.7736658386611,34.62938889,-118.0845528
99,Dartmouth Skiway,Lebanon Municipal,8.770729440963555,43.62637222,-72.30426722,Post Mills,20.188519758646105,43.884235,-72.25370333,Midland International,2912.9888834804174,31.94252778,-102.20191390000001
